Label,Min,Average,90% Line,Max,# Samples,failure,TEST
TOTAL,0.001,1.866,3.974,131.292,59123,18,#N/A
TC01_Internal_01C_Signin_OKTA,0.158,1.185,1.386,4.041,411,5,TC01_Internal_01C_Signin_OKTA
TC19_Tasking2_05_View_task,0.344,1.856,1.988,10.605,182,2,TC19_Tasking2_05_View_task
TC29_PCG_Internal_Renewal_Coll_09_Insuredpage_Click_Save&Continue,2.265,14.202,15.489,18.614,100,2,TC29_PCG_Internal_Renewal_Coll_09_Insuredpage_Click_Save&Continue
TC01_ExternalLogin_01D_CredSignIn_OKTA_Signin,1.288,1.944,2.242,5.181,1356,1,TC01_ExternalLogin_01D_CredSignIn_OKTA_Signin
TC07_PCG_External_NewCustomer_Collections_09_insuredPage_Clicksave_XXL,2.07,13.623,16.26,17.225,10,1,TC07_PCG_External_NewCustomer_Collections_09_insuredPage_Clicksave_XXL
TC27_PCG_Internal_Renewal_HO_04_SelectLegacyRenewal_Click_ProductandSave&Continue,2.576,3.636,4.685,13.74,100,1,TC27_PCG_Internal_Renewal_HO_04_SelectLegacyRenewal_Click_ProductandSave&Continue
TC27_PCG_Internal_Renewal_HO_10_InsuredPage_Clicksave&continue,2.317,16.464,18.049,30.549,99,1,TC27_PCG_Internal_Renewal_HO_10_InsuredPage_Clicksave&continue
TC19_Tasking2_07_Reassign_task,0.067,5.417,6.098,6.591,178,1,TC19_Tasking2_07_Reassign_task
TC19_Tasking2_08_Complete_task,0.071,5.136,5.79,6.543,176,1,TC19_Tasking2_08_Complete_task
TC41_NonlegacyRenewal_HO_04_ClickSave,5.875,5.875,5.875,5.875,1,1,TC41_NonlegacyRenewal_HO_04_ClickSave
TC41_NonlegacyRenewal_PEL_04_ClickSave,1.092,1.092,1.092,1.092,1,1,TC41_NonlegacyRenewal_PEL_04_ClickSave
TC01_ExternalLogin_01A_Launch,0.051,0.102,0.146,1.563,1371,0,TC01_ExternalLogin_01A_Launch
TC01_ExternalLogin_01B_Login,0.539,0.618,0.658,0.944,1366,0,TC01_ExternalLogin_01B_Login
TC01_ExternalLogin_01C_CredSignIn_OKTA_Username,0.294,0.334,0.342,0.695,1361,0,TC01_ExternalLogin_01C_CredSignIn_OKTA_Username
TC01_ExternalLogin_01E_CredSignIn_NonOKTA,0.756,1.466,1.935,5.845,1347,0,TC01_ExternalLogin_01E_CredSignIn_NonOKTA
TC01_ExternalLogin_01F_CredSignIn_Dasboard__L,0.001,2.176,3.878,5.846,60,0,TC01_ExternalLogin_01F_CredSignIn_Dasboard__L
TC01_ExternalLogin_01F_CredSignIn_Dasboard__M,0.001,1.272,3.734,5.202,46,0,TC01_ExternalLogin_01F_CredSignIn_Dasboard__M
TC05_PCG_External_QuoteNewCustomer_HO_02_SearchCustomer_L,0.503,1.752,4.587,4.855,16,0,TC05_PCG_External_QuoteNewCustomer_HO_02_SearchCustomer_L
TC01_ExternalLogin_01F_CredSignIn_Dasboard__S,0.001,1.936,3.998,10.596,49,0,TC01_ExternalLogin_01F_CredSignIn_Dasboard__S
TC01_ExternalLogin_01F_CredSignIn_Dasboard__XXL,0.001,1.247,3.613,5.491,36,0,TC01_ExternalLogin_01F_CredSignIn_Dasboard__XXL
TC05_PCG_External_QuoteNewCustomer_HO_02_SearchCustomer_M,0.611,1.808,2.306,5.126,6,0,TC05_PCG_External_QuoteNewCustomer_HO_02_SearchCustomer_M
TC05_PCG_External_QuoteNewCustomer_HO_03_Click_CreateQuotefornewCustomer_L,0.198,0.285,0.373,0.41,16,0,TC05_PCG_External_QuoteNewCustomer_HO_03_Click_CreateQuotefornewCustomer_L
TC05_PCG_External_QuoteNewCustomer_HO_02_SearchCustomer_S,0.965,1.583,2.209,2.39,5,0,TC05_PCG_External_QuoteNewCustomer_HO_02_SearchCustomer_S
TC05_PCG_External_QuoteNewCustomer_HO_03_Click_CreateQuotefornewCustomer_M,0.19,0.438,0.398,1.329,6,0,TC05_PCG_External_QuoteNewCustomer_HO_03_Click_CreateQuotefornewCustomer_M
TC05_PCG_External_QuoteNewCustomer_HO_02_SearchCustomer_XXL,0.769,2.208,4.989,5.266,7,0,TC05_PCG_External_QuoteNewCustomer_HO_02_SearchCustomer_XXL
TC05_PCG_External_QuoteNewCustomer_HO_03_Click_CreateQuotefornewCustomer_S,0.227,0.245,0.28,0.28,4,0,TC05_PCG_External_QuoteNewCustomer_HO_03_Click_CreateQuotefornewCustomer_S
TC05_PCG_External_QuoteNewCustomer_HO_04_SelectProductandClickSave&Continue_L,3.108,4.004,4.702,6.239,16,0,TC05_PCG_External_QuoteNewCustomer_HO_04_SelectProductandClickSave&Continue_L
TC05_PCG_External_QuoteNewCustomer_HO_03_Click_CreateQuotefornewCustomer_XXL,0.216,0.425,0.479,0.863,7,0,TC05_PCG_External_QuoteNewCustomer_HO_03_Click_CreateQuotefornewCustomer_XXL
TC05_PCG_External_QuoteNewCustomer_HO_04_SelectProductandClickSave&Continue_M,3.323,4.842,6.202,6.425,6,0,TC05_PCG_External_QuoteNewCustomer_HO_04_SelectProductandClickSave&Continue_M
TC05_PCG_External_QuoteNewCustomer_HO_04_SelectProductandClickSave&Continue_S,3.143,4.37,5.44,5.44,4,0,TC05_PCG_External_QuoteNewCustomer_HO_04_SelectProductandClickSave&Continue_S
TC05_PCG_External_QuoteNewCustomer_HO_07_insuredPage_SelectLocationInfoAddress_L,1.835,2.791,3.982,6.13,16,0,TC05_PCG_External_QuoteNewCustomer_HO_07_insuredPage_SelectLocationInfoAddress_L
TC05_PCG_External_QuoteNewCustomer_HO_04_SelectProductandClickSave&Continue_XXL,3.437,4.421,4.862,6.12,7,0,TC05_PCG_External_QuoteNewCustomer_HO_04_SelectProductandClickSave&Continue_XXL
TC05_PCG_External_QuoteNewCustomer_HO_07_insuredPage_SelectLocationInfoAddress_M,1.961,2.986,3.652,4.883,6,0,TC05_PCG_External_QuoteNewCustomer_HO_07_insuredPage_SelectLocationInfoAddress_M
TC05_PCG_External_QuoteNewCustomer_HO_07_insuredPage_SelectLocationInfoAddress_S,1.987,2.408,3.26,3.26,4,0,TC05_PCG_External_QuoteNewCustomer_HO_07_insuredPage_SelectLocationInfoAddress_S
TC05_PCG_External_QuoteNewCustomer_HO_07_insuredPage_SelectLocationInfoAddress_XXL,1.94,2.274,2.506,3.003,7,0,TC05_PCG_External_QuoteNewCustomer_HO_07_insuredPage_SelectLocationInfoAddress_XXL
TC05_PCG_External_QuoteNewCustomer_HO_08_insuredPage_Clicksave_L,15.239,17.685,19.378,22.765,15,0,TC05_PCG_External_QuoteNewCustomer_HO_08_insuredPage_Clicksave_L
TC05_PCG_External_QuoteNewCustomer_HO_08_insuredPage_Clicksave_M,15.863,17.696,18.335,21.614,6,0,TC05_PCG_External_QuoteNewCustomer_HO_08_insuredPage_Clicksave_M
