Label,Min,Average,90% Line,Max,# Samples,failure,test
TC01_ExternalLogin_01A_Launch,0.052,0.106,0.141,2.02,1515,0,TC01_ExternalLogin_01A_Launch
TC01_ExternalLogin_01B_Login,0.529,0.615,0.659,0.818,1511,0,TC01_ExternalLogin_01B_Login
TC01_ExternalLogin_01C_CredSignIn_OKTA_Username,0.291,0.332,0.339,0.77,1504,0,TC01_ExternalLogin_01C_CredSignIn_OKTA_Username
TC01_ExternalLogin_01D_CredSignIn_OKTA_Signin,1.494,1.926,2.214,6.644,1500,0,TC01_ExternalLogin_01D_CredSignIn_OKTA_Signin
TC01_ExternalLogin_01E_CredSignIn_NonOKTA,0.751,1.436,1.919,16.426,1491,0,TC01_ExternalLogin_01E_CredSignIn_NonOKTA
TC01_ExternalLogin_01F_CredSignIn_Dasboard__M,0.001,1.488,4.016,5.082,45,0,TC01_ExternalLogin_01F_CredSignIn_Dasboard__M
TC01_ExternalLogin_01F_CredSignIn_Dasboard__S,0.001,1.899,4.205,4.738,48,0,TC01_ExternalLogin_01F_CredSignIn_Dasboard__S
TC02_PCG_External_QuoteExistingCustomer_HO_02_SearchCustomerID_M,0.47,0.652,1.019,1.064,12,0,TC02_PCG_External_QuoteExistingCustomer_HO_02_SearchCustomerID_M
TC02_PCG_External_QuoteExistingCustomer_HO_02_SearchCustomerID_S,0.441,0.704,1.042,1.052,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_02_SearchCustomerID_S
TC01_ExternalLogin_01F_CredSignIn_Dasboard__L,0.001,2.133,4.074,4.838,58,0,TC01_ExternalLogin_01F_CredSignIn_Dasboard__L
TC02_PCG_External_QuoteExistingCustomer_HO_03_SelectCustomer_M,1.067,1.521,2.018,2.521,12,0,TC02_PCG_External_QuoteExistingCustomer_HO_03_SelectCustomer_M
TC01_ExternalLogin_01F_CredSignIn_Dasboard__XL,0.001,1.205,4.032,4.346,34,0,TC01_ExternalLogin_01F_CredSignIn_Dasboard__XL
TC02_PCG_External_QuoteExistingCustomer_HO_03_SelectCustomer_S,1.172,1.582,1.761,2.051,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_03_SelectCustomer_S
TC02_PCG_External_QuoteExistingCustomer_HO_02_SearchCustomerID_L,0.484,0.755,0.853,1.179,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_02_SearchCustomerID_L
TC02_PCG_External_QuoteExistingCustomer_HO_02_SearchCustomerID_XL,0.516,0.604,0.658,0.688,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_02_SearchCustomerID_XL
TC02_PCG_External_QuoteExistingCustomer_HO_04_SelectProductandClickSave&Continue_M,6.07,7.411,9.209,10.016,12,0,TC02_PCG_External_QuoteExistingCustomer_HO_04_SelectProductandClickSave&Continue_M
TC02_PCG_External_QuoteExistingCustomer_HO_03_SelectCustomer_L,1.314,1.524,1.63,1.7,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_03_SelectCustomer_L
TC02_PCG_External_QuoteExistingCustomer_HO_04_SelectProductandClickSave&Continue_S,6.253,6.929,6.985,8.565,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_04_SelectProductandClickSave&Continue_S
TC02_PCG_External_QuoteExistingCustomer_HO_03_SelectCustomer_XL,0.959,2.344,2.816,5.212,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_03_SelectCustomer_XL
TC02_PCG_External_QuoteExistingCustomer_HO_06_insuredPage_SelectBrokerCode_M,0.315,0.377,0.454,0.535,12,0,TC02_PCG_External_QuoteExistingCustomer_HO_06_insuredPage_SelectBrokerCode_M
TC02_PCG_External_QuoteExistingCustomer_HO_06_insuredPage_SelectBrokerCode_S,0.313,0.347,0.384,0.397,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_06_insuredPage_SelectBrokerCode_S
TC02_PCG_External_QuoteExistingCustomer_HO_04_SelectProductandClickSave&Continue_L,6.371,7.662,8.641,10.876,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_04_SelectProductandClickSave&Continue_L
TC02_PCG_External_QuoteExistingCustomer_HO_04_SelectProductandClickSave&Continue_XL,5.98,9.27,10.975,13.241,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_04_SelectProductandClickSave&Continue_XL
TC02_PCG_External_QuoteExistingCustomer_HO_08_insuredPage_Clicksave_M,11.126,13.081,16.475,19.845,12,0,TC02_PCG_External_QuoteExistingCustomer_HO_08_insuredPage_Clicksave_M
TC02_PCG_External_QuoteExistingCustomer_HO_06_insuredPage_SelectBrokerCode_L,0.311,0.519,0.674,0.74,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_06_insuredPage_SelectBrokerCode_L
