base_Label	base_Min	base_Average	base_90% Line	base_Max	base_Pass	base_Fail	target_Min	target_Average	target_90% Line	target_Max	target_Pass	target_Fail	AVG	90%
TC01_Internal_01C_Signin_OKTA	0.158	1.185	1.386	4.041	406.0	5.0	0.052	0.106	0.141	2.02	1515.0	0.0	0.6455000000000001	0.7635
TC19_Tasking2_05_View_task	0.344	1.856	1.988	10.605	180.0	2.0	0.529	0.615	0.659	0.818	1511.0	0.0	1.2355	1.3235000000000001
TC29_PCG_Internal_Renewal_Coll_09_Insuredpage_Click_Save&Continue	2.265	14.202	15.489	18.614	98.0	2.0	0.291	0.332	0.339	0.77	1504.0	0.0	7.267	7.914000000000001
TC01_ExternalLogin_01D_CredSignIn_OKTA_Signin	1.288	1.944	2.242	5.181	1355.0	1.0	1.494	1.926	2.214	6.644	1500.0	0.0	1.935	2.2279999999999998
TC07_PCG_External_NewCustomer_Collections_09_insuredPage_Clicksave_XXL	2.07	13.623	16.26	17.225	9.0	1.0	0.751	1.436	1.919	16.426	1491.0	0.0	7.5295	9.089500000000001
TC27_PCG_Internal_Renewal_HO_04_SelectLegacyRenewal_Click_ProductandSave&Continue	2.576	3.636	4.685	13.74	99.0	1.0	0.001	1.488	4.016	5.082	45.0	0.0	2.5620000000000003	4.3505
TC27_PCG_Internal_Renewal_HO_10_InsuredPage_Clicksave&continue	2.317	16.464	18.049	30.549	98.0	1.0	0.001	1.899	4.205	4.738	48.0	0.0	9.1815	11.126999999999999
TC19_Tasking2_07_Reassign_task	0.067	5.417	6.098	6.591	177.0	1.0	0.47	0.652	1.019	1.064	12.0	0.0	3.0345	3.5585
TC19_Tasking2_08_Complete_task	0.071	5.136	5.79	6.543	175.0	1.0	0.441	0.704	1.042	1.052	6.0	0.0	2.92	3.416
TC41_NonlegacyRenewal_HO_04_ClickSave	5.875	5.875	5.875	5.875	0.0	1.0	0.001	2.133	4.074	4.838	58.0	0.0	4.004	4.9745
TC41_NonlegacyRenewal_PEL_04_ClickSave	1.092	1.092	1.092	1.092	0.0	1.0	1.067	1.521	2.018	2.521	12.0	0.0	1.3065	1.555
TC01_ExternalLogin_01A_Launch	0.051	0.102	0.146	1.563	1371.0	0.0	0.001	1.205	4.032	4.346	34.0	0.0	0.6535000000000001	2.089
TC01_ExternalLogin_01B_Login	0.539	0.618	0.658	0.944	1366.0	0.0	1.172	1.582	1.761	2.051	6.0	0.0	1.1	1.2095
TC01_ExternalLogin_01C_CredSignIn_OKTA_Username	0.294	0.334	0.342	0.695	1361.0	0.0	0.484	0.755	0.853	1.179	6.0	0.0	0.5445	0.5975
TC01_ExternalLogin_01E_CredSignIn_NonOKTA	0.756	1.466	1.935	5.845	1347.0	0.0	0.516	0.604	0.658	0.688	6.0	0.0	1.035	1.2965
TC01_ExternalLogin_01F_CredSignIn_Dasboard__L	0.001	2.176	3.878	5.846	60.0	0.0	6.07	7.411	9.209	10.016	12.0	0.0	4.7935	6.5435
TC01_ExternalLogin_01F_CredSignIn_Dasboard__M	0.001	1.272	3.734	5.202	46.0	0.0	1.314	1.524	1.63	1.7	6.0	0.0	1.3980000000000001	2.682
TC05_PCG_External_QuoteNewCustomer_HO_02_SearchCustomer_L	0.503	1.752	4.587	4.855	16.0	0.0	6.253	6.929	6.985	8.565	6.0	0.0	4.3405000000000005	5.786
